"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"09/08/2009","122","Ozone","United Avenue","13-121-0055","AQS"
"09/09/2009","102","PM2.5","Newnan","13-077-0002","AQS"
"09/10/2009","66","PM2.5","Yorkville, King Farm","13-223-0003","AQS"
"09/11/2009","75","PM2.5","United Avenue","13-121-0055","AQS"
"09/12/2009","79","PM2.5","United Avenue","13-121-0055","AQS"
"09/13/2009","75","PM2.5","United Avenue","13-121-0055","AQS"
"09/14/2009","82","PM2.5","United Avenue","13-121-0055","AQS"
"09/15/2009","86","PM2.5","Kennesaw","13-067-0003","AQS"
"09/16/2009","58","PM2.5","United Avenue","13-121-0055","AQS"
"09/17/2009","52","PM2.5","Gwinnett","13-135-0002","AQS"
"09/18/2009","54","PM2.5","South DeKalb","13-089-0002","AQS"
"09/19/2009","57","PM2.5","South DeKalb","13-089-0002","AQS"
"09/20/2009","52","PM2.5","United Avenue","13-121-0055","AQS"
"09/21/2009","40","PM2.5","South DeKalb","13-089-0002","AQS"
"09/22/2009","56","PM2.5","United Avenue","13-121-0055","AQS"
"09/23/2009","55","PM2.5","South DeKalb","13-089-0002","AQS"
"09/24/2009","58","PM2.5","Doraville","13-089-2001","AQS"
"09/25/2009","57","PM2.5","Gwinnett","13-135-0002","AQS"
"09/26/2009","52","PM2.5","United Avenue","13-121-0055","AQS"
"09/27/2009","47","PM2.5","United Avenue","13-121-0055","AQS"
"09/28/2009","61","PM2.5","South DeKalb","13-089-0002","AQS"
"09/29/2009","40","PM2.5","South DeKalb","13-089-0002","AQS"
"09/30/2009","54","PM2.5","South DeKalb","13-089-0002","AQS"
"10/01/2009","96","PM2.5","E. Rivers School","13-121-0032","AQS"
"10/02/2009","67","PM2.5","United Avenue","13-121-0055","AQS"
"10/03/2009","56","PM2.5","South DeKalb","13-089-0002","AQS"
"10/04/2009","55","PM2.5","United Avenue","13-121-0055","AQS"
"10/05/2009","37","Ozone","Gwinnett","13-135-0002","AQS"
"10/06/2009","52","PM2.5","United Avenue","13-121-0055","AQS"
"10/07/2009","54","PM2.5","United Avenue","13-121-0055","AQS"
"10/08/2009","56","PM2.5","United Avenue","13-121-0055","AQS"
"10/09/2009","55","PM2.5","United Avenue","13-121-0055","AQS"
"10/10/2009","43","PM2.5","South DeKalb","13-089-0002","AQS"
"10/11/2009","51","PM2.5","United Avenue","13-121-0055","AQS"
"10/12/2009","33","PM2.5","South DeKalb","13-089-0002","AQS"
"10/13/2009","47","PM2.5","United Avenue","13-121-0055","AQS"
"10/14/2009","32","PM2.5","South DeKalb","13-089-0002","AQS"
